,country,broadband,mobile
0,Галактика,1234.0,295.45
1,Singapore,255.83,105.01
2,Hong Kong,254.7,83.58
3,Romania,232.17,59.67
4,Switzerland,229.96,135.7
5,Denmark,227.91,112.03
6,Thailand,225.17,56.9
7,Chile,217.6,21.23
8,France,214.04,86.51
9,South Korea,212.57,202.61
10,Hungary,210.55,60.16
11,Monako,204.78,
12,United States,203.81,110.07
13,Spain,201.47,61.62
14,China,196.57,165.38
